Dedicated,ave_ATTP_normal,ave_tr_normal,ave_ATTP_dbl,ave_tr_dbl
20181105,199.5718069,0.082184997,106.7295389,0.091552934
20181106,188.9147568,0.078966935,105.889802,0.093106614
20181107,194.9356968,0.082641785,103.6525755,0.090518538
20181108,181.3216628,0.075862219,98.10848933,0.086939486
20181109,209.4237303,0.086808621,107.7298769,0.094374139
20181110,121.4527791,0.064306207,80.58877872,0.06847078
20181111,181.2494168,0.065555084,69.12147177,0.062287776
20181112,120.5814857,0.056019403,61.93077996,0.055702178
20181113,185.806499,0.078678614,92.25122419,0.084798412
20181114,174.1400382,0.072710894,87.7692011,0.078218755
20181115,259.7564036,0.108450156,124.6062774,0.105315493
20181116,184.2446242,0.075303942,104.0508922,0.090364443
20181117,122.7959928,0.064953084,90.71494448,0.07521645
20181118,180.1176597,0.065002684,62.90800901,0.052482041
20181119,191.0152494,0.081627687,110.5310012,0.091046508
20181120,197.2157653,0.082969626,98.33885999,0.086906475
20181121,116.3596025,0.052400894,66.24806958,0.055895367
20181124,287.0278632,0.11868266,142.9370203,0.097955447
20181125,161.4965662,0.052598342,62.04995131,0.049424955
20181126,161.0696824,0.06909463,90.085764,0.079717238
20181127,219.6734431,0.087409381,122.7518662,0.102785175
20181128,152.3096281,0.064172565,76.99930404,0.07150394
20181129,160.8219405,0.067505945,78.37007977,0.073994159
20181130,221.8128472,0.086371528,119.9624217,0.100570289
20181201,182.5902339,0.082525753,98.43678242,0.080228217
20181202,223.2318052,0.079593816,84.16421971,0.070579995
20181203,181.6120844,0.073588036,85.96230966,0.075445284
20181204,186.240222,0.078476989,94.00073675,0.081687158
20181205,186.886969,0.076696364,82.51904965,0.074175639
20181206,190.3187934,0.072847977,103.9010353,0.088032951
20181207,204.3078147,0.07799209,104.1185314,0.090714412
20181208,141.4898513,0.064691999,92.0501936,0.076966664
20181209,197.3638834,0.071038398,67.82143627,0.053900442
20181210,135.9312499,0.064802967,72.79433946,0.066379161
20181211,166.8884862,0.066288877,97.77218246,0.080278351
20181212,179.2055248,0.069172394,93.80247494,0.077045292
20181213,167.9753053,0.065769091,91.6361691,0.074168507
20181214,210.412769,0.08540973,102.5284674,0.083013307
20181215,137.4033178,0.0624676,83.05412271,0.075092667
20181216,183.8510572,0.065830279,66.94799481,0.057758475
20181217,149.4784661,0.062538414,72.07824427,0.06282355
20181218,185.3218962,0.075628371,90.33706835,0.073470209
20181219,201.0034031,0.075663492,112.3801952,0.084691489
20181220,184.4767984,0.075450148,105.9375182,0.080950995
20181221,166.796083,0.067021817,96.18283846,0.075181159
20181222,101.7705187,0.056764497,72.40861347,0.062899395
20181223,147.943222,0.055144055,60.14318405,0.05047946
20181224,98.43773092,0.046439081,54.57492815,0.048131771
20181226,114.3364949,0.052155016,60.5007807,0.051843135
20181227,125.372376,0.053059678,62.12797148,0.05396012
20181228,137.485418,0.056625467,72.6808158,0.062533145
20181229,109.883535,0.053880944,73.31982984,0.05833313
20181230,140.3002531,0.050294393,63.42768663,0.056595464
20181231,130.6051929,0.054443979,67.83688366,0.061171386
20190103,136.366864,0.057675185,69.63783748,0.063158831
20190104,170.6138445,0.061306508,83.21887022,0.067981495
20190105,157.1976356,0.063083486,100.7620649,0.080505996
20190106,212.5599176,0.065024791,82.87415298,0.072396596
20190107,198.024335,0.068827541,91.74620707,0.080538433
20190108,210.080109,0.084593739,104.3071058,0.096919494
20190109,185.2807561,0.066138386,83.99725548,0.078351519
20190110,166.2459946,0.05804268,85.97396749,0.076449912
20190111,221.0343522,0.077181877,115.4341948,0.101694915
20190112,314.9159073,0.112654321,193.9171751,0.138204808
20190113,193.2420208,0.059968325,78.79978509,0.064419073
20190114,172.9572155,0.064702788,91.44758586,0.082253929
20190115,170.4723308,0.064451667,91.43703362,0.085264683
20190116,195.6529588,0.069999781,100.4288529,0.090688153
20190117,182.6612433,0.063445044,93.48071781,0.084753254
20190118,279.0294997,0.096078571,129.8842978,0.110897573
20190119,154.1310507,0.065415063,87.36153262,0.070845488
20190120,281.3468828,0.09220339,107.5899009,0.079548136
20190121,136.5407933,0.057287521,84.56076377,0.073415987
20190122,190.6365703,0.067182138,97.47274549,0.086305945
20190123,247.0667389,0.092266513,118.9784709,0.104816428
20190124,237.477398,0.083015994,117.7602292,0.102471125
20190125,197.6323093,0.068677021,111.2778294,0.093524038
20190126,160.0153464,0.064232802,93.64675776,0.075708561
20190127,207.5504659,0.072090113,74.44461748,0.062320977
20190128,174.5503455,0.069357039,95.42872853,0.084632811
20190129,168.2544832,0.062126402,91.24585394,0.082831629
20190130,99.58151935,0.038839638,55.71167515,0.049688487
